Zeitraum;kWh;Euro;kgCO2;Status
12.10.2022 22:15 - 22:30;3289,000;0,00;1766,193;Ersatzwert
12.10.2022 22:30 - 22:45;3482,000;0,00;1869,834;Ersatzwert
12.10.2022 22:45 - 23:00;3261,000;0,00;1751,157;Ersatzwert
12.10.2022 23:00 - 23:15;3150,000;0,00;1691,550;Ersatzwert
12.10.2022 23:15 - 23:30;3126,000;0,00;1678,662;Ersatzwert
12.10.2022 23:30 - 23:45;3384,000;0,00;1817,208;Ersatzwert
12.10.2022 23:45 - 00:00;3653,000;0,00;1961,661;Ersatzwert
13.10.2022 00:00 - 00:15;3327,000;0,00;1786,599;Ersatzwert
13.10.2022 00:15 - 00:30;3325,000;0,00;1785,525;Ersatzwert
13.10.2022 00:30 - 00:45;3580,000;0,00;1922,460;Ersatzwert
13.10.2022 00:45 - 01:00;3267,000;0,00;1754,379;Ersatzwert
13.10.2022 01:00 - 01:15;2779,000;0,00;1492,323;Ersatzwert
13.10.2022 01:15 - 01:30;2861,000;0,00;1536,357;Ersatzwert
13.10.2022 01:30 - 01:45;3123,000;0,00;1677,051;Ersatzwert
13.10.2022 01:45 - 02:00;3061,000;0,00;1643,757;Ersatzwert
13.10.2022 02:00 - 02:15;2716,000;0,00;1458,492;Ersatzwert
13.10.2022 02:15 - 02:30;2701,000;0,00;1450,437;Ersatzwert
13.10.2022 02:30 - 02:45;2626,000;0,00;1410,162;Ersatzwert
13.10.2022 02:45 - 03:00;3318,000;0,00;1781,766;Ersatzwert
13.10.2022 03:00 - 03:15;3407,000;0,00;1829,559;Ersatzwert
13.10.2022 03:15 - 03:30;3352,000;0,00;1800,024;Ersatzwert
13.10.2022 03:30 - 03:45;2935,000;0,00;1576,095;Ersatzwert
13.10.2022 03:45 - 04:00;2704,000;0,00;1452,048;Ersatzwert
13.10.2022 04:00 - 04:15;2516,000;0,00;1351,092;Ersatzwert
13.10.2022 04:15 - 04:30;2824,000;0,00;1516,488;Ersatzwert
13.10.2022 04:30 - 04:45;2776,000;0,00;1490,712;Ersatzwert
13.10.2022 04:45 - 05:00;2533,000;0,00;1360,221;Ersatzwert
13.10.2022 05:00 - 05:15;2356,000;0,00;1265,172;Ersatzwert
13.10.2022 05:15 - 05:30;2145,000;0,00;1151,865;Ersatzwert
13.10.2022 05:30 - 05:45;2314,000;0,00;1242,618;Ersatzwert
13.10.2022 05:45 - 06:00;2190,000;0,00;1176,030;Ersatzwert
13.10.2022 06:00 - 06:15;1592,000;0,00;854,904;Ersatzwert
13.10.2022 06:15 - 06:30;1782,000;0,00;956,934;Ersatzwert
13.10.2022 06:30 - 06:45;1989,000;0,00;1068,093;Ersatzwert
13.10.2022 06:45 - 07:00;1902,000;0,00;1021,374;Ersatzwert
13.10.2022 07:00 - 07:15;2304,000;0,00;1237,248;Ersatzwert
13.10.2022 07:15 - 07:30;3146,000;0,00;1689,402;Ersatzwert
13.10.2022 07:30 - 07:45;2642,000;0,00;1418,754;Ersatzwert
13.10.2022 07:45 - 08:00;2249,000;0,00;1207,713;Ersatzwert
13.10.2022 08:00 - 08:15;2153,000;0,00;1156,161;Ersatzwert
13.10.2022 08:15 - 08:30;2254,000;0,00;1210,398;Ersatzwert
13.10.2022 08:30 - 08:45;2453,000;0,00;1317,261;Ersatzwert
13.10.2022 08:45 - 09:00;2204,000;0,00;1183,548;Ersatzwert
13.10.2022 09:00 - 09:15;1924,000;0,00;1033,188;Ersatzwert
13.10.2022 09:15 - 09:30;1780,000;0,00;955,860;Ersatzwert
13.10.2022 09:30 - 09:45;1727,000;0,00;927,399;Ersatzwert
13.10.2022 09:45 - 10:00;1590,000;0,00;853,830;Ersatzwert
13.10.2022 10:00 - 10:15;1531,000;0,00;822,147;Ersatzwert
13.10.2022 10:15 - 10:30;1548,000;0,00;831,276;Ersatzwert
13.10.2022 10:30 - 10:45;1480,000;0,00;794,760;Ersatzwert
13.10.2022 10:45 - 11:00;1377,000;0,00;739,449;Ersatzwert
13.10.2022 11:00 - 11:15;1314,000;0,00;705,618;Ersatzwert
13.10.2022 11:15 - 11:30;1266,000;0,00;679,842;Ersatzwert
13.10.2022 11:30 - 11:45;1270,000;0,00;681,990;Ersatzwert
13.10.2022 11:45 - 12:00;1331,000;0,00;714,747;Ersatzwert
13.10.2022 12:00 - 12:15;1348,000;0,00;723,876;Ersatzwert
13.10.2022 12:15 - 12:30;1397,000;0,00;750,189;Ersatzwert
13.10.2022 12:30 - 12:45;1351,000;0,00;725,487;Ersatzwert
13.10.2022 12:45 - 13:00;1310,000;0,00;703,470;Ersatzwert
13.10.2022 13:00 - 13:15;1337,000;0,00;717,969;Ersatzwert
13.10.2022 13:15 - 13:30;1355,000;0,00;727,635;Ersatzwert
13.10.2022 13:30 - 13:45;1374,000;0,00;737,838;Ersatzwert
13.10.2022 13:45 - 14:00;1406,000;0,00;755,022;Ersatzwert
13.10.2022 14:00 - 14:15;1317,000;0,00;707,229;Ersatzwert
13.10.2022 14:15 - 14:30;1318,000;0,00;707,766;Ersatzwert
13.10.2022 14:30 - 14:45;1340,000;0,00;719,580;Ersatzwert
13.10.2022 14:45 - 15:00;1328,000;0,00;713,136;Ersatzwert
13.10.2022 15:00 - 15:15;1348,000;0,00;723,876;Ersatzwert
13.10.2022 15:15 - 15:30;1533,000;0,00;823,221;Ersatzwert
13.10.2022 15:30 - 15:45;1566,000;0,00;840,942;Ersatzwert
13.10.2022 15:45 - 16:00;1489,000;0,00;799,593;Ersatzwert
13.10.2022 16:00 - 16:15;1516,000;0,00;814,092;Ersatzwert
13.10.2022 16:15 - 16:30;1547,000;0,00;830,739;Ersatzwert
13.10.2022 16:30 - 16:45;1602,000;0,00;860,274;Ersatzwert
13.10.2022 16:45 - 17:00;1420,000;0,00;762,540;Ersatzwert
13.10.2022 17:00 - 17:15;1541,000;0,00;827,517;Ersatzwert
13.10.2022 17:15 - 17:30;1580,000;0,00;848,460;Ersatzwert
13.10.2022 17:30 - 17:45;1566,000;0,00;840,942;Ersatzwert
13.10.2022 17:45 - 18:00;1613,000;0,00;866,181;Ersatzwert
13.10.2022 18:00 - 18:15;1625,000;0,00;872,625;Ersatzwert
13.10.2022 18:15 - 18:30;1632,000;0,00;876,384;Ersatzwert
13.10.2022 18:30 - 18:45;1616,000;0,00;867,792;Ersatzwert
13.10.2022 18:45 - 19:00;1562,000;0,00;838,794;Ersatzwert
13.10.2022 19:00 - 19:15;1625,000;0,00;872,625;Ersatzwert
13.10.2022 19:15 - 19:30;1602,000;0,00;860,274;Ersatzwert
